day_number,info
1,"Körpəniz bu gün dünyaya göz açdı! İlk 24 saatda körpə əsasən yatacaq və ana südü ilə qidalanacaq. Dəri-dəriyə təmas çox vacibdir - bu bağlanma prosesini gücləndirir."
2,"İkinci gün! Körpənizin göbək bağı hələ qurumayıb. Göbək nahiyəsini təmiz və quru saxlayın. Körpə bu gün daha çox oyaq qala bilər."
3,"Körpəniz 3 günlükdür. Ana südü artıq gəlməyə başlayır. Tez-tez əmizdirin - hər 2-3 saatdan bir. Körpənin çəkisi bir az azala bilər, bu normaldır."
7,"Bir həftəlik oldunuz! Körpəniz artıq üzünüzü tanımağa başlayır. Göbək bağı tezliklə düşəcək. Yenidoğulmuş müayinəsini planlaşdırın."
14,"İki həftəlik! Körpə artıq daha çox oyaq qalır və ətrafına baxır. İlk təbəssüm yaxınlaşır! Kilo artımı izləyin."
30,"Bir aylıq! Körpəniz artıq başını qısa müddət qaldıra bilir. Səslərə reaksiya verir və üzünüzə baxmağı sevir. Tummy time məşqlərinə başlayın."
60,"İki aylıq! İlk həqiqi təbəssümü gördünüzmü? Körpə artıq səslər çıxarır və sizinlə 'söhbət' etməyə çalışır. Peyvənd təqviminizi yoxlayın."
90,"Üç aylıq! Körpə əllərini kəşf edir, əşyalara uzanır. Gülüş səsləri eşidə bilərsiniz. Yuxu rejimi daha müntəzəm olur."
180,"Altı aylıq! Əlavə qida dövrü başlayır. Körpə otura bilir (dəstəklə). İlk dişlər çıxa bilər. Əl-göz koordinasiyası inkişaf edir."
365,"Bir yaş! Təbrik edirik! Körpəniz artıq ayaq üstə dura bilir, bəlkə ilk addımlarını atır. İlk sözlər - mama, baba deyə bilər."
730,"İki yaş! Uşağınız artıq qaçır, tullanır və cümlələr qurur. Müstəqillik dövrü başlayır. Əl bacarıqları inkişaf edir."
1095,"Üç yaş! Uşağınız artıq bağçaya hazırlaşır. Təxəyyülü güclüdür, rol oyunları oynayır. Sosial bacarıqlar inkişaf edir."
1460,"Dörd yaş! Uşağınız artıq tam cümlələrlə danışır, rəsm çəkir, say sayır. Məktəbəqədər hazırlıq dövrüdür."
